; Deshpande (p. 305-310) gives the following for 3rd person (s., du., pl.)
; of the reduplicative perfect tense.
_,a,prf ad Ada AdatuH AduH  
_,m,prf ad Ade AdAte Adire  
_,a,prf aS ASa ASatuH ASuH  
_,a,prf as Asa AsatuH AsuH  
_,a,prf Ap Apa ApatuH ApuH  
_,a,prf i iyAya IyatuH IyuH  
_,a,prf iz iyeza IzatuH IzuH  
_,m,prf kam cakame cakamAte cakamire  
_,m,prf kamp cakampe cakampAte cakampire  
_,a,prf kANkz cakANkza cakANkzatuH cakANkzuH  
_,a,prf kf cakAra cakratuH cakruH  
_,m,prf kf cakre cakrAte cakrire
_,a,prf kft cakarta cakftatuH cakftuH
_,a,prf kfz cakarza cakfzatuH cakfzuH
_,a,prf krand cakranda cakrandatuH cakranduH
_,a,prf kram cakrAma cakramatuH cakramuH
_,a,prf krI cikrAya cikriyatuH cikriyuH
_,m,prf krI cikriye cikriyAte cikriyire
_,a,prf krIq cikrIqa cikrIqatuH cikrIquH
_,a,prf kliS cikleSa cikliSatuH cikliSuH
_,m,prf kliS cikliSe cikliSAte cikliSire
_,m,prf kzam cakzame cakzamAte cakzamire
_,a,prf kzip cikzepa cikzipatuH cikzipuH
_,a,prf kzuB cukzoBa cukzuBatuH cukzuBuH
_,a,prf Kan caKAna caKnatuH caKnuH
; I question 'caKa' in 3du, 3pl. Should it be 'caKA' ?
_,a,prf KAd caKAda caKadatuH caKaduH
_,m,prf Kid ciKide ciKidAte ciKidire
_,a,prf KyA caKyO caKyatuH caKyuH
_,a,prf gam jagAma jagmatuH jagmuH
_,m,prf gAh jagAhe jagAhAte jagAhire
_,a,prf gE jagO jagatuH jaguH
_,a,prf granT jagranTa jagranTatuH jagranTuH
_,m,prf gras jagrase jagrasAte jagrasire
_,a,prf grah jagrAha jagfhatuH jagfhuH
_,m,prf grah jagfhe jagfhAte jagfhire
_,a,prf car cacAra ceratuH ceruH
_,a,prf cal cacAla celatuH celuH
; ci  Kale p. 326 irregular. Has additional forms. I show Deshpande below
_,a,prf ci cikAya cikyatuH cikyuH
_,a,prf ci cicAya cicyatuH cicyuH
